,Epithelial-like,Mesenchymal-like,EMP Intermediate
0,TFF1,SNORC,FDCSP
1,TFF3,SCRG1,WFDC2
2,AGR2,COL9A3,RARRES1
3,SCGB2A2,H19,LINC00472
4,SLC39A6,S100A4,C5orf46
5,SCGB1D2,MIA,BIRC3
6,KRT18,VIM,FTH1P10
7,PRSS23,NPB,CRYAB
8,CRIP1,LY6E,CXCL2
9,ADIRF,FTL,TYMP
10,AGR3,SNHG29,MT-ND4
11,XBP1,ITM2C,MT-ND5
12,ANKRD30A,SDC2,FIRRE
13,KRT8,PLAC9,DSP
14,COX6C,BGN,ANXA1
15,ATP6V1G1,FRZB,MT-ATP6
16,RAMP1,P4HA1,KRT14
17,FXYD3,SNHG6,JUN
18,CRIP2,SNHG5,TMEM123
19,SMIM22,COL11A2,MMP7
20,S100A7,ACAN,AL136164.3
21,TXN,CLU,GCNT2
22,S100A14,TPM2,DUSP1
23,GATA3,RPS20,CXCL3
24,NPDC1,ASPH,PYDC1
25,RAB11FIP1,COL2A1,NFIB
26,PSME1,CRLF1,MIR205HG
27,CST3,ZFAS1,AC020916.1
28,HSPB1,IGF2,MTND1P23
29,INTS1,NDRG1,LMO4
30,NPW,MOXD1,ANXA2
31,C15orf48,AL450405.1,SFRP1
32,TSPAN13,S100A1,TFCP2L1
33,EDF1,CD81,CDKN2A
34,TMEM141,EMP3,TMSB4X
35,DCDC2,MT1E,ATP5ME
36,S100A16,GGH,KLF6
37,STARD10,FBXO2,ELF3
38,COX6A1,CEBPD,CSTB
39,CYB5A,ISLR,THUMPD3-AS1
40,SCGB3A1,BST2,TNFAIP2
41,SLC9A3R2,CPQ,MT-ND3
42,HIST1H1C,MSLN,CXCL14
43,PLPP5,CHCHD7,MT-CYB
44,CALML5,NDUFA4L2,IER2
45,SPDEF,SLC2A1,KRT5
46,TACSTD2,CLEC11A,CCNL1
47,CLDN7,TIMP3,PPP1R15A
48,SMIM14,TIMP1,LINC01133
49,PYCARD,CCN2,MT-ND2
50,KRT14,RHOBTB3,CXCR4
51,TXNIP,PDIA6,PLA2G16
52,KLK6,PPIB,C4orf48
53,TMEM64,PRDX4,OGFRL1
54,MRPS30-DT,IFI27,RPL10P9
55,VAMP8,KCNQ1OT1,KRT7
56,MLPH,SEC61G,NFKBIA
57,TMBIM4,COL9A2,RPL36A
58,TSTD1,HAPLN1,RPL17
59,SKP1,RPLP1,KRT15
60,RARRES3,IGFBP7,BHLHE41
61,BLVRA,MFAP2,DMKN
62,DDX5,PCMTD1,MT-ND1
63,EID1,RPL30,MGST1
64,PRXL2A,RPN2,SOX4
65,ABRACL,SDR16C5,GABRP
66,EMP2,NNMT,AL589743.1
67,EVL,KRT17,LPIN1
68,SERF2,WFDC21P,TUBA1B
69,ZNF703,DDIT4,IRS2
70,PSMB7,RPL13,GABARAP
71,TMSB4X,BSG,CALML5
72,COX17,S100P,CD24
73,CA2,RPL37A,MT-CO1
74,SYNGR2,RPL7,PMEPA1
75,PSME2,AC074143.1,MBNL1
76,CD24,IFI6,DCBLD1
77,CLDN3,XAGE3,LCN2
78,FBP1,RCN3,DSC2
79,PKIB,S100B,TUBA1A
80,HINT1,WWP2,S100A2
81,AC018816.1,CYBA,MYO6
82,MAL2,RPL8,COX6B1
83,HEBP2,MT1L,RNF150
84,TMEM205,RPL18A,CD59
85,SLC9A3R1,SNAI2,RBM39
86,IGFBP2,A2M,
87,RPL36AL,SPHK1,
88,KRT19,TSPAN4,
89,TRMT112,DUSP2,
90,EPCAM,ATRAID,
91,LSM1,AC024293.1,
92,NSD3,MYL9,
93,DNAJC1,ANGPTL4,
94,SYT1,VKORC1,
95,MUC2,MT2A,
96,H2AFY,ERRFI1,
97,DHRS7,RPS18,
98,UQCR10,TAGLN,
99,PBX1,COPZ2,
100,MRFAP1,PDIA4,
101,ELP2,GNAS,
102,GGCT,HILPDA,
103,POMP,ID1,
104,BTF3,GPC3,
105,AZGP1,HSP90B1,
106,PERP,BAMBI,
107,UGCG,VEGFA,
108,SET,CCDC80,
109,CD9,CDK2AP1,
110,PHPT1,CALU,
111,ATP5MD,GAS5,
112,RAB25,RPS27A,
113,NAT1,PON2,
114,VDAC1,LGALS7B,
115,ATP6V0E1,ENO1,
116,FKBP3,FAM162A,
117,NUCKS1,HERPUD1,
118,PAXX,RPL37,
119,MTA1,RPS12,
120,EFHD1,LAPTM4B,
121,DYNLL1,ID4,
122,CLIC1,BUD23,
123,BSPRY,PEPD,
124,KLK5,CTHRC1,
125,HSPH1,P4HB,
126,YWHAB,CAVIN3,
127,PIN4,NR4A2,
128,NDUFA2,RPS21,
129,NDUFB4,FBXO32,
130,SSNA1,EBPL,
131,H3F3A,CA9,
132,SIAH2,CRNDE,
133,CRABP2,PPP1R1B,
134,PLEKHF2,MT-ND6,
135,UBL5,SH3BGRL3,
136,PPDPF,THBS1,
137,PPP4C,APOD,
138,EIF3M,SLC12A2,
139,FOXA1,HSPG2,
140,ARPC3,RPL11,
141,SNRPE,C4orf3,
142,NPM1,C1GALT1,
143,FDPS,PEG3,
144,CKS2,PDIA3,
145,COX8A,RPS13,
146,OCIAD2,RAC3,
147,SUSD3,TMEM70,
148,ARPC5L,NR4A1,
149,HMGB1,RPS16,
150,MRPL41,GAPDH,
151,COMMD3,RPS5,
152,RTRAF,SOCS3,
153,PRDX5,SLC16A3,
154,CD46,GJA1,
155,VPS29,SOD3,
156,XIST,AKR1C2,
157,LGALS3BP,RPL28,
158,TPM3,SNHG8,
159,OCIAD1,NPC2,
160,CTSD,APOE,
161,ATP5MC1,LDHA,
162,HDAC2,RPL13A,
163,CRABP1,RND3,
164,MYL12B,SERPINA5,
165,FAM173A,RPL34,
166,WDR34,PEG10,
167,SRP14,CITED4,
168,NDUFA8,PKM,
169,MMP7,RPS3A,
170,CCND1,ELOC,
171,PEBP1,TTYH1,
172,ATP5MC2,APP,
173,HIST1H2BD,CDH19,
174,SELENOH,TRAM1,
175,TMBIM6,MXRA8,
176,TECR,RPS24,
177,UQCRQ,EMID1,
178,HACD3,PAM,
179,HSP90AA1,CDC42EP5,
180,HSP90AB1,RPL10,
181,METRN,ERGIC3,
182,SRP9,RPS7,
183,GLUL,MDFI,
184,MGST2,TMED3,
185,COA3,RPS28,
186,MRPS34,EFEMP1,
187,ACSL3,HSPA5,
188,PRSS8,RPS9,
189,UBE2L3,RABAC1,
190,CCT2,OSR2,
191,SERP1,NEGR1,
192,KLK7,LARP6,
193,ATP5PD,TCEA1,
194,MGST1,STMP1,
195,MTATP6P1,RPL9,
196,EIF4EBP1,PRPSAP1,
197,MUC6,CALD1,
198,BTG2,GABPB1-AS1,
199,ATOX1,TMED10,
200,ARRDC1,SAP30,
201,JTB,RPL27A,
202,RGS10,PLOD3,
203,MIEN1,CTSA,
204,AREG,RPL41,
205,NDUFS8,UBE2V2,
206,PPA1,IMPA2,
207,BEX4,MRPS6,
208,LAMTOR1,H2AFJ,
209,ERGIC1,GRIA2,
210,ARL6IP4,TSPAN6,
211,CENPW,GABARAPL2,
212,ARMT1,CP,
213,ESR1,FABP7,
214,YWHAH,RAMP2,
215,N4BP2L2,RPL21,
216,COPZ1,CD320,
217,SELENOT,CHI3L2,
218,PSMB3,PLA2G2A,
219,ARPC5,EIF3H,
220,NDUFC2,PON3,
221,PLA2G16,UQCRH,
222,GLO1,ADAMTS6,
223,SURF1,RPLP2,
224,COQ4,EEF1D,
225,DUSP23,FKBP7,
226,H2AFZ,MEF2A,
227,CREB3L4,TRPS1,
228,RTF2,SNHG25,
229,CISD3,SOX6,
230,ASAH1,CALR,
231,DNAJC19,AL359555.4,
232,SLC25A5,LY6D,
233,EIF4A2,CRELD2,
234,ARF1,GLRX,
235,VTRNA1-3,KDELR2,
236,SCCPDH,LAPTM4A,
237,GRINA,C1orf122,
238,PCBP1,GADD45B,
239,ENSA,NTRK2,
240,RSRC2,ITGB1,
241,CHMP4B,SSR4,
242,B2M,PDCD4,
243,SUMO2,ABCC3,
244,CACYBP,EEF1B2,
245,MTIF3,P4HA2,
246,RPS27L,AC097534.2,
247,TIMM17B,OSTC,
248,CFL1,MYDGF,
249,UBC,APRT,
250,ARF6,CD302,
251,HNRNPA2B1,RPS15,
252,CENPX,PRKDC,
253,ZDHHC12,PDK1,
254,,RPS2,
255,,LOX,
256,,CCDC85B,
257,,CAPS,
258,,PGAM1,
259,,CD109,
260,,TMEM59,
261,,PLOD1,
262,,TRIM54,
263,,COX4I1,
264,,GCSH,
265,,SRM,
266,,LSM7,
267,,ARL16,
268,,CCDC88A,
269,,RAB34,
270,,PGM1,
271,,MUC1,
272,,TPD52,
273,,RPS29,
274,,RPS6,
275,,SLC16A1,
276,,IMPAD1,
277,,HEXA,
278,,NDUFB2,
279,,RPL23A,
280,,TGFBR3L,
281,,TOMM7,
282,,CHPF,
283,,EFEMP2,
284,,PLAG1,
285,,CSPG4,
286,,TMEM208,
287,,MGP,
288,,HDLBP,
